GeneID	RNA.seq_LADC55
GJB5	1
GJB4	4
GJB3	4
GJA4	210
SMIM12	768
DLGAP3	57
GPR199P	29
TMEM35B	766
ZMYM6	641
ZMYM1	499
LOC105378644	2
SFPQ	5658
ZMYM4	1870
ZMYM4-AS1	55
KIAA0319L	3203
NCDN	720
TFAP2E	62
TFAP2E-AS1	14
PSMB2	2352
C1orf216	285
CLSPN	265
AGO4	970
AGO1	840
AGO3	682
TEKT2	91
ADPRS	747
COL8A2	438
TRAPPC3	959
MAP7D1	2220
THRAP3	3768
SH3D21	218
EVA1B	100
STK40	1606
LSM10	395
OSCP1	328
MRPS15	1031
CSF3R	736
GRIK3	148
LINC01137	109
ZC3H12A	816
MIR6732	11
MEAF6	2514
MIR5581	7
LOC105378649	42
SNIP1	470
DNALI1	210
GNL2	1658
RSPO1	13
C1orf109	389
CDCA8	251
EPHA10	343
MANEAL	574
YRDC	291
C1orf122	294
MTF1	517
INPP5B	600
LOC105378651	15
SF3A3	1948
FHL3	253
UTP11	597
POU3F1	3
MIR3659HG	0
LOC105378657	0
RRAGC	1232
GJA9-MYCBP	739
MYCBP	712
LOC105378663	8
GJA9	22
RHBDL2	310
LOC105378662	48
AKIRIN1	1503
NDUFS5	1828
MACF1	12674
643314	189
105378950	0
BMP8A	171
OXCT2P1	61
PPIEL	152
PABPC4	3826
PABPC4-AS1	736
SNORA55	28
HEYL	511
NT5C1A	62
HPCAL4	483
PPIE	1352
BMP8B	252
OXCT2	41
LOC101929536	1
105378951	34
LINC02811	12
105378665	7
TRIT1	657
MYCL	143
MYCL-AS1	10
MFSD2A	1858
CAP1	9865
PPT1	12260
RLF	1224
TMCO2	1
ZMPSTE24	4086
COL9A2	6097
107984945	11
SMAP2	2538
ZFP69B	36
ZFP69	232
LOC105378672	8
EXO5	274
ZNF684	103
RIMS3	176
LOC105378675	13
NFYC-AS1	205
NFYC	1459
KCNQ4	20
CITED4	12
CTPS1	729
SLFNL1-AS1	138
SLFNL1	27
SCMH1	916
FOXO6	130
FOXO6-AS1	5
LOC105378678	13
EDN2	104
HIVEP3	439
GUCA2B	1
GUCA2A	4
FOXJ3	2276
RIMKLA	203
ZMYND12	133
CCDC30	666
PPCS	2213
PPIH	640
YBX1	8000
CLDN19	0
P3H1	642
C1orf50	259
TMEM269-DT	7
TMEM269	9
LOC107984946	2
SVBP	124
ERMAP	603
ZNF691	324
LOC339539	3
SLC2A1	1466
SLC2A1-AS1	6
FAM183A	29
EBNA1BP2	1714
CFAP57	425
LOC105378685	45
TMEM125	1839
C1orf210	648
TIE1	734
MPL	23
LOC105378687	12
CDC20	495
ELOVL1	3343
MIR6734	12
LOC112268225	12
MED8	1429
MED8-AS1	267
SZT2	1501
SZT2-AS1	78
HYI	340
PTPRF	10783
KDM4A	1428
KDM4A-AS1	199
ST3GAL3	108
ARTN	10
LOC105378688	6
LOC101929609	83
IPO13	899
DPH2	614
ATP6V0B	2668
B4GALT2	962
CCDC24	368
SLC6A9	801
LOC107984948	15
KLF17	12
DMAP1	682
ERI3	1095
ERI3-IT1	35
RNF220	1042
LOC107984950	440
TMEM53	494
ARMH1	87
LOC105378690	24
RNU5F-1	0
RNU5D-1	1
KIF2C	585
RPS8	15738
SNORD55	7
SNORD46	13
SNORD38A	19
SNORD38B	12
BEST4	18
PLK3	356
DYNLT4	50
BTBD19	39
LOC107984952	6
PTCH2	17
EIF2B3	634
HECTD3	1426
UROD	1671
ZSWIM5	412
LOC105378691	14
LINC01144	13
HPDL	16
MUTYH	372
TOE1	285
TESK2	172
CCDC163	14
MMACHC	1631
PRDX1	6728
AKR1A1	3502
NASP	4238
CCDC17	126
GPBP1L1	4058
RPS15AP10	3
TMEM69	900
IPP	605
MAST2	1360
P3R3URF-PIK3R3	426
PIK3R3	484
LOC101929626	6
TSPAN1	1016
POMGNT1	1566
LURAP1	18
RAD54L	231
LRRC41	2982
UQCRH	1569
NSUN4	923
FAAH	623
FAAHP1	24
LINC01398	4
DMBX1	53
MKNK1-AS1	181
MKNK1	1041
MOB3C	724
ATPAF1	1190
EFCAB14-AS1	338
EFCAB14	8423
LOC105378698	38
LOC105378699	6
CYP4B1	663
CYP4Z2P	7
CYP4A11	0
CYP4X1	226
CYP4Z1	2
CYP4A22	0
LOC105378701	9
LINC00853	17
PDZK1IP1	799
TAL1	113
STIL	350
CMPK1	6945
LINC01389	11
FOXE3	0
FOXD2-AS1	51
FOXD2	17
LINC01738	0
TRABD2B	17
LINC02794	0
SKINT1L	5
SLC5A9	74
SPATA6	493
AGBL4	11
BEND5	61
ELAVL4	42
DMRTA2	103
LOC105378714	7
FAF1	979
FAF1-AS1	4
CDKN2C	273
LINC01562	0
RNF11	2265
TTC39A	301
TTC39A-AS1	7
EPS15	2354
EPS15-AS1	11
CALR4P	2
OSBPL9	2752
NRDC	3463
105378721	316
MIR761	14
RAB3B	29
TXNDC12	2305
KTI12	129
BTF3L4	1700
ZFYVE9	578
CC2D1B	1493
ORC1	132
PRPF38A	1171
TUT4	995
GPX7	125
SHISAL2A	36
COA7	395
ZYG11B	1741
ZYG11A	80
ECHDC2	1207
SCP2	6888
PODN	1244
SLC1A7	128
CPT2	1074
CZIB	755
MAGOH	582
LOC100507564	38
LRP8	523
LOC105378728	15
LOC105378726	12
LOC105378731	7
105378730	5
LINC02812	8
GLIS1	2
NDC1	1223
YIPF1	932
DIO1	83
HSPB11	702
LRRC42	712
LDLRAD1	87
TMEM59	11532
TCEANC2	334
CDCP2	3
CYB5RL	165
MRPL37	514
SSBP3	1035
SSBP3-AS1	7
ACOT11	149
FAM151A	41
MROH7-TTC4	447
MROH7	34
TTC4	416
PARS2	132
TTC22	404
LEXM	20
DHCR24	26838
DHCR24-DT	40
TMEM61	20
BSND	1
PCSK9	164
USP24	3837
LOC100507634	17
LINC01767	24
PLPP3	1687
PRKAA2	105
FYB2	35
C8A	1
C8B	17
105378745	3
LOC112267900	20
DAB1	16
LOC107984960	0
OMA1	709
TACSTD2	6516
MYSM1	1475
LOC112268263	6
LOC105378751	18
JUN	6595
LINC01135	24
LOC101926907	27
LINC02777	21
LINC01358	5
FGGY-DT	6
FGGY	209
LOC101926944	5
LOC105378758	2
HOOK1	1571
CYP2J2	213
C1orf87	54
LINC01748	1
LOC101926964	1
LOC105378764	0
NFIA-AS2	8
NFIA	916
NFIA-AS1	2
LOC107984964	0
MGC34796	1
TM2D1	551
PATJ	2404
LOC107984965	0
L1TD1	18
KANK4	49
USP1	1614
DOCK7	1111
ANGPTL3	11
ATG4C	711
LINC00466	0
FOXD3-AS1	8
FOXD3	1
ALG6	418
ITGB3BP	354
LOC102724319	0
EFCAB7	204
DLEU2L	20
PGM1	1749
ROR1	190
ROR1-AS1	12
LOC105378773	0
UBE2U	1
LOC107984966	2
CACHD1	577
RAVER2	714
JAK1	5838
LINC01359	6
MIR3671	5
AK4	668
DNAJC6	268
LOC102724416	7
LEPR	1314
LEPROT	4097
PDE4B	546
LOC105378776	1
SGIP1	245
DYNLT5	246
DNAI4	338
MIER1	2374
SLC35D1	805
C1orf141	19
IL23R	3
IL12RB2	23
105378779	2
SERBP1	8141
GADD45A	1279
GNG12	6724
LOC105378781	4
GNG12-AS1	88
DIRAS3	146
WLS	1781
RPE65	6
DEPDC1	352
LRRC7	5
LRRC40	615
SRSF11	4458
ANKRD13C	1765
HHLA3	448
HHLA3-AS1	27
CTH	474
PTGER3	30
ZRANB2-AS1	332
ZRANB2	2777
MIR186	21
ZRANB2-AS2	14
LOC105378795	3
NEGR1	228
LOC105378797	7
LOC105378798	0
LRRIQ3	9
FPGT-TNNI3K	91
FPGT	649
TNNI3K	15
105378805	0
ERICH3	162
ERICH3-AS1	6
CRYZ	1892
TYW3	603
LHX8	0
SLC44A5	7
ACADM	1220
DLSTP1	31
RABGGTB	1438
SNORD45C	29
SNORD45A	21
SNORD45B	32
MSH4	1
ST6GALNAC3	107
LOC105378807	0
ST6GALNAC5	580
PIGK	1283
LOC105378808	3
AK5	21
ZZZ3	1183
USP33	1794
MIGA1	920
NEXN-AS1	27
NEXN	1227
FUBP1	2941
DNAJB4	507
GIPC2	93
LOC107984997	14
MGC27382	12
PTGFR	131
IFI44L	5645
IFI44	5366
ADGRL4	652
LOC107984998	0
LOC105378810	0
LINC01781	0
ADGRL2	2085
LOC101927434	0
LINC01361	3
107985037	1
LOC105378816	2
LINC01725	3
LOC101927560	2
107985041	8
TTLL7	99
PRKACB	933
107985046	2
SAMD13	15
UOX	1
DNASE2B	9
RPF1	629
GNG5	1810
SPATA1	115
CTBS	1087
LOC105378819	11
LINC01461	3
SSX2IP	433
LOC102724892	0
LPAR3	67
MCOLN2	122
MCOLN3	172
DNAI3	58
SYDE2	422
C1orf52	754
BCL10	880
LOC646626	90
DDAH1	2717
107985054	16
CCN1	2998
LOC107985057	9
LOC112268231	6
ZNHIT6	989
COL24A1	159
LINC02795	16
LOC105378825	14
ODF2L	1530
MIR7856	5
CLCA2	49
CLCA1	3
LOC105378827	2
CLCA4	4
CLCA4-AS1	26
CLCA3P	1
SH3GLB1	4543
SELENOF	4623
HS2ST1	1602
LINC01140	87
LMO4	901
LOC105378833	2
LOC105378839	0
PKN2-AS1	4
PKN2	2117
GTF2B	640
KYAT3	681
RBMXL1	809
GBP3	3625
LOC105378841	24
GBP1	1880
GBP2	1854
LOC112268267	549
LOC105378842	18
GBP7	9
GBP4	1377
LOC107985076	4
GBP5	513
GBP6	97
GBP1P1	126
LOC105378844	2
LRRC8B	1230
LRRC8C	931
LRRC8C-DT	13
LOC107985743	5
101927952	16
LOC107985744	2
LOC101927975	9
LRRC8D	1102
GEMIN8P4	22
ZNF326	936
LOC105378849	0
LOC107985088	0
LINC02609	72
LINC02788	3
ZNF644	2328
HFM1	10
CDC7	347
LOC102723436	2
TGFBR3	537
BRDT	14
EPHX4	44
SETSIP	9
BTBD8	24
23285	200
C1orf146	0
GLMN	233
RPAP2	691
GFI1	90
EVI5	924
RPL5	10585
DIPK1A	643
SNORD21	10
SNORA66	12
MTF2	872
TMED5	5466
CCDC18	386
LOC107985521	0
CCDC18-AS1	588
DR1	1650
FNBP1L	4096
BCAR3	265
BCAR3-AS1	63
LOC102723480	0
723788	3
TRR-TCT1-1	1
DNTTIP2	1688
GCLM	670
ABCA4	2276
LOC105378858	2
ARHGAP29	2427
ARHGAP29-AS1	0
105378859	1
ABCD3	3216
F3	1313
LOC105378861	3
SLC44A3-AS1	127
105378860	4
SLC44A3	454
CNN3	5591
105378862	15
CNN3-DT	102
ALG14	166
LOC105378863	1
TLCD4	666
TLCD4-RWDD3	116
LOC101928118	23
RWDD3	265
PTBP2	406
DPYD	3536
DPYD-AS1	164
LOC105378867	17
MIR137HG	3
SNX7	788
PLPPR5	3
PLPPR4	51
LINC01708	0
PALMD	361
FRRS1	173
AGL	958
SLC35A3	3020
MFSD14A	1520
SASS6	537
TRMT13	643
LRRC39	144
DBT	876
RTCA-AS1	23
RTCA	913
CDC14A	235
LOC105379827	0
GPR88	7
VCAM1	759
EXTL2	282
SLC30A7	909
DPH5	1084
LOC102606465	138
LOC101928334	3
LOC101928370	14
S1PR1	832
COL11A1	1083
LOC101928436	1
RNPC3	717
AMY2B	572
ACTG1P4	24
AMY2A	32
AMY1A	572
AMY1B	439
LOC105378878	33
AMY1C	533
LOC100129138	0
PRMT6	346
NTNG1	45
VAV3	493
LINC02785	12
SLC25A24	2616
NBPF4	1
NBPF6	1
FAM102B	1032
HENMT1	404
LOC105378890	4
PRPF38B	2408
STXBP3	2364
LOC105378891	4
AKNAD1	7
GPSM2	1608
CLCC1	1622
WDR47	634
TAF13	518
TMEM167B-DT	4
TMEM167B	2949
SCARNA2	6
C1orf194	41
ELAPOR1	692
SARS1	4341
CELSR2	381
PSRC1	172
MYBPHL	234
SORT1	8373
PSMA5	3541
SYPL2	8
ATXN7L2	125
CYB561D1	223
AMIGO1	147
GNAI3	4243
GNAT2	10
AMPD2	1460
GSTM4	323
GSTM2	446
GSTM1	46
GSTM5	41
GSTM3	496
EPS8L3	0
CSF1	2470
AHCYL1	6365
STRIP1	629
ALX3	44
UBL4B	2
SLC6A17	10
LINC02586	1
KCNC4	180
RBM15-AS1	14
RBM15	458
SLC16A4	1223
LAMTOR5	1404
LAMTOR5-AS1	10
PROK1	3
CYMP	1
CYMP-AS1	1
KCNA10	0
KCNA2	28
LOC107985174	34
KCNA3	981
LOC105378901	36
CD53	3063
LRIF1	815
DRAM2	1550
CEPT1	1688
DENND2D	1635
107985180	2
CHI3L2	193
CHIAP2	21
CHIA	246
PIFO	421
OVGP1	96
WDR77	1056
ATP5PB	4004
C1orf162	1054
TMIGD3	374
ADORA3	432
RAP1A	4236
LINC01160	12
LOC107985184	63
INKA2	159
INKA2-AS1	0
LOC101928718	1
DDX20	712
KCND3	377
LINC01750	14
LINC02884	66
CTTNBP2NL	2546
WNT2B	198
ST7L	771
CAPZA1	8698
MOV10	3699
RHOC	3160
PPM1J	70
TAFA3	1
LINC01356	2
LINC01357	1
SLC16A1	377
AKR7A2P1	0
SLC16A1-AS1	7
LOC107985189	0
LRIG2-DT	7
LRIG2	698
LOC643441	52
MAGI3	1953
PHTF1	672
RSBN1	1210
AP4B1-AS1	244
PTPN22	706
BCL2L15	1022
AP4B1	587
DCLRE1B	450
HIPK1-AS1	16
HIPK1	3973
OLFML3	676
SYT6	1
TRIM33	2548
BCAS2	1388
LOC105378914	1
DENND2C	114
AMPD1	25
NRAS	3453
CSDE1	21198
SIKE1	1728
TSHB	3
TSPAN2	203
LINC01765	6
NGF	297
112268287	8
VANGL1	667
CASQ2	105
NHLH2	97
LINC01649	14
LOC101928977	12
SLC22A15	819
MAB21L3	7
LINC01779	2
ATP1A1	29370
ATP1A1-AS1	7564
LINC01762	0
LOC112268235	67
CD58	770
LOC105378925	2
IGSF3	2715
LOC105378924	15
CD2	417
PTGFRN	1541
CD101	633
LOC101929099	25
TTF2	720
TRIM45	247
VTCN1	125
MAN1A2	3750
TENT5C	1881
LOC105378929	3
GDAP2	896
WDR3	1643
SPAG17	586
TBX15	252
LOC105378933	10
WARS2	466
WARS2-IT1	0
WARS2-AS1	209
LOC107985192	8
HSD3B2	1
LOC105378935	1
HSD3BP4	4
LINC00622	8
ZNF697	128
PHGDH	293
105378936	2
HMGCS2	9
REG4	0
NOTCH2	6070
SEC22B	5367
107985522	9
105378941	3
105378954	58
LOC101929788	1
NBPF8	662
107985523	20
PFN1P2	26
PDE4DIPP2	814
LOC107985524	56
NOTCH2NLR	21
NBPF26	753
RNVU1-19	1
LINC00623	178
LOC100996720	40
RNVU1-4	0
TRN-GTT11-1	1
LOC105369199	4
PDE4DIPP4	7
H3P4	120
FCGR1B	105
LOC100996318	35
H2BP1	70
FAM72B	119
SRGAP2C	664
LOC107985193	6
LINC02798	4
EMBP1	163
LINC01691	3
LOC105371175	2
LOC107985200	3
LOC107985201	1
LOC105369140	2
PDE4DIPP3	7
H2BP2	70
FCGR1CP	128
H3-2	191
FAM72C	93
SRGAP2D	262
LOC105371206	2
LINC02802	7
105373467	6
NBPF15	844
LOC105371211	0
LSP1P5	7
LOC105371216	2
SRGAP2B	892
LOC107985595	4
FAM72D	109
LOC101929805	7
LINC01145	160
LOC100996740	85
RNVU1-14	3
NBPF20	236
LOC105371312	33
NBPF25P	230
GPR89A	831
PDZK1	37
CD160	18
RNF115	1244
