GeneID,Intensity.LUAD_phos_10N
PRKCA,139201829
JUNB,0
GJA1,0
UBTF,0
JUND,0
ATF7,0
PRKACA,0
PRKACA;PRKACG;PRKACB,0
DES,127399779
PTPN2,0
CTPS1,0
PFKL,0
IGFBP3,0
SPI1,0
TCP1,0
PTPN1,0
ARF4,0
PTPRA,0
NELFE,128271629
LAG3,0
PGAM1,0
PGAM1;PGAM4,0
RCC1,128508229
SDC1,0
LIG1,0
XRCC1,136880829
PAM,0
MYL12A;MYL12B;MYL9,0
PLCG1,0
NCL,0
ELK1,0
TRIM21,0
TFEB,0
TFE3,0
SLC9A1,265665659
ITIH2,0
NFKB1,0
NCF2,0
TYMP,0
ATP2B1,127135089
ATP2B1;ATP2B2,0
EIF2S2,132344329
CD33,0
TPSB2;TPSAB1;TPSD1,133594129
CD22,0
RAB4A,0
RAB6A,0
MX2,0
LMNB1,0
LMNB1;LMNB2,0
HOXA5,0
BCL3,0
CAST,128319229
PTMS,0
CDK11B,0
CDK11B;CDK11A,259233859
CSRP1,132510529
FLNA;FLNC,0
NF1,0
MAOA,0
S1PR1,0
TNFAIP3,0
TAF1,0
C5AR1,0
TBXA2R,128019729
MSR1,0
VDAC1,133078129
ERBB3,0
TGM2,0
OSBP,0
FBL,0
CDH3,0
PAICS,0
SCP2,0
UBA1,0
ENPP1,0
FGFR4,0
HIST1H1T,127281769
HNRNPA2B1,0
RFX1,0
CBL,0
PRKACB,0
MRC1,0
FBLN1,135349929
TCEA1,127991629
SFPQ,0
KEL,0
HRC,128595029
RPS3,140855829
PTPRG,0
PTPRZ1,0
SP100,0
MCC,0
NFYA,0
CFL1,257728759
EIF4B,127829529
ATP2B4,0
PAX7,0
EEF1B2,152074829
AKAP5,0
IGFBP5,0
PRKCH,0
TNC,153869829
POLR2A,0
APC,0
ADRBK1,0
PTAFR,0
F2R,0
MCM3,0
BRD2,0
FAS,0
YY1,131281629
DNAJB1;DNAJB4,0
DNAJB2,0
ATP5A1,0
PSMA3,0
MSN,127654129
PTPN3,0
DNMT1,0
U2AF2,132111029
RPL13,0
PTBP1,141887829
ZFP36,0
PLN,128529729
IL3RA,0
STOM,153523829
MAPK3,0
MARK3,0
MARK3;MARK2;MARK4;MARK1,0
ARNT,0
RPA1,0
DCK,0
CAD,0
CALR,0
PDE4A,0
MAP4,429761789
PIK3R1,0
PSMA5,0
HLA-DMB,0
CHAT,0
TEAD1,0
SMARCA1,0
MAPK1,0
ERCC5,127502529
GRN,0
PTPRM,0
EPHA2,0
EPHB2,0
PTPN6,0
SHC1,127001489
ARID4A,0
KDM5A,0
TKT,0
NOS3,130975329
LMOD1,398124449
OAS2,0
MARCKS,164761829
AQP1,0
PRDX6,0
PEBP1,0
FCER1G,0
CDC25B,0
NKTR,256255159
NMT1,0
HLA-F,0
LRPAP1,0
ADSL,128653429
CLIP1,0
CLIP1;CLIP2,131063629
PRKAR1B,0
PRKAR2B,158946829
RRM2,0
SDC4,0
HIVEP2,0
SLC6A4,137469829
AKT1,0
AKT1;AKT2;AKT3,0
AKT2,0
HNRNPH3,0
HNRNPH1,0
HNRNPH1;HNRNPF,0
HNRNPH1;HNRNPH2,127683629
STIP1,0
S100A11,0
VIPR1,0
CCR1,0
PYCR1,0
SLC8A1,0
ELF1,0
ICAM3,0
ACSL1,0
KIF5B,0
CSTF2,0
ABCC1,0
SDC2,134195229
EVI2B,127597329
EPHX2,0
HSPA4,0
CTNNA1,589815479
CTNNA1;CTNNA2,455950489
CTNNB1,272027459
BMI1,0
NF2,0
RDX,0
RFC1,0
GTF2F1,0
SPR,0
HRH1,0
PTGER4,0
THBS2,0
FBN1,0
IRS1,0
MYH10,568974419
MYH10;MYH11,0
COPB2,179031829
ADD1,530883189
ADD1;ADD2;ADD3,0
BSG,0
NUP214,129958829
HNF1B,0
SOX5,0
SOX5;SOX6,0
SLC16A2,129013829
GJA5,0
MAP2K2,140263829
MAP2K2;MAP2K1,0
CPOX,0
RPL4,0
PGM1,0
ACVR1B,0
GNL1,0
ACVRL1,127254329
TGFBR2,128561429
HPCAL1;HPCA;NCALD,0
ZEB1,0
TAGLN2,145879829
TALDO1,0
RBMX,0
