GeneID,Intensity.LUAD_phos_01T
ADSL,121323840
CLIP1,0
CLIP1;CLIP2,124130440
PRKAR1B,0
PRKAR2B,173308040
RRM2,0
SDC4,0
HIVEP2,0
SLC6A4,0
AKT1,0
AKT1;AKT2;AKT3,0
AKT2,0
HNRNPH3,115410670
HNRNPH1,115376650
HNRNPH1;HNRNPF,0
HNRNPH1;HNRNPH2,188039040
STIP1,116742940
S100A11,116095140
VIPR1,0
CCR1,264355281
PYCR1,116575540
SLC8A1,0
ELF1,134454040
ICAM3,0
ACSL1,0
KIF5B,132131040
CSTF2,0
ABCC1,480334462
SDC2,0
EVI2B,244186581
EPHX2,0
HSPA4,0
CTNNA1,1122999522
CTNNA1;CTNNA2,528000121
CTNNB1,572267121
BMI1,0
NF2,0
RDX,0
RFC1,0
GTF2F1,0
SPR,0
HRH1,115678960
PTGER4,0
THBS2,123296440
FBN1,749443121
IRS1,0
MYH10,1326012224
MYH10;MYH11,0
COPB2,264946040
ADD1,579909402
ADD1;ADD2;ADD3,123185240
BSG,119384740
NUP214,496763262
HNF1B,0
SOX5,0
SOX5;SOX6,0
SLC16A2,116142940
GJA5,0
MAP2K2,242997921
MAP2K2;MAP2K1,0
CPOX,0
RPL4,0
PGM1,116528640
ACVR1B,0
GNL1,138825040
ACVRL1,0
TGFBR2,116101140
HPCAL1;HPCA;NCALD,0
ZEB1,115866920
TAGLN2,427866040
TALDO1,116077240
RBMX,116386840
RBMX;RBMXL1,180644040
COIL,120286540
EIF4A3,0
COL18A1,0
CAPG,115858830
CAP2,0
IL6ST,117859340
TXLNA,116295240
PSMB10,0
PBX2,116639240
MLH1,0
STAT3,297659781
USP8,125252040
PEX19,0
MDH1,0
ETV3,0
CASR,0
BCL6,116049340
CETN2,143527040
ETV6,328024081
NAA10,116735940
KDM5C,0
PPP1R2,139000040
PPP1R2;PPP1R2P3,276060081
MAP3K8,0
SLC19A1,0
PRKCI,0
ELK3,117289640
TMPO,923610062
STAT1,118232440
STAT5A;STAT5B,0
ARHGAP25,0
MTOR,263539281
PI4KA,0
EPS15,651709902
CASP2,0
RPS27,0
ABL2,116208440
FRK,0
HELZ,117212240
RBM34,0
WAS,0
HTT,127304040
SLC1A1,126263040
SLC1A4,0
MCAM,118588740
DCC,0
MATR3,1325678203
GRK6;GRK5,0
GPD2,115588900
SSR1,0
RANBP1,115493920
PSMC4,115574920
NKX2-1,116147240
VDAC2,141887040
CBX5,0
USP5,0
MAP2K4,0
MKI67,115595560
PHKA2,119202040
PHKA1,119195740
NOP2,241008681
ATRX,1877595067
CRK,123440140
BAG6,712842902
NSF,0
MAP2K3,0
MAP2K3;MAP2K6,0
RPS10;RPS10P5,0
NEDD4,0
YAP1,546445762
UTRN,247388681
IQGAP1,242642081
PLA2G4A,809952102
RAP1GAP,0
CAPZA2,117985040
CAPZB,239832681
SCTR,0
ZFP36L2,116585640
LIMS1,0
LEPR,116778340
RFX2,0
RFX5,125041040
ARCN1,0
IFNAR2,117218140
TRAPPC10,117854240
PRRC2A,356921821
GSS,0
PTDSS1,367255721
CSNK1D,0
CD97,119399340
MARCKSL1,233099481
PXN,496470862
NR2C2,0
SLC11A1,0
NASP,255944081
FMO5,0
FASN,239620881
FNTA,0
FNTB,0
CCT3,117710840
ARRB1,148918040
CYB561,119528340
CENPA,286457081
CENPF,0
PCYT1A,0
PCYT1A;PCYT1B,0
HARS2,124164340
MCM2,365717421
YLPM1,0
RBM25,421111221
NUMB,0
CLK1,120161040
CLK1;CLK4,118004840
CLK2,121066640
CLK3,242480481
PSEN1,242913021
EIF2B2,0
NUP153,552374322
RANBP2,944989283
RANBP2;RGPD4,0
RANBP2;RGPD4;RGPD3,0
RGS19,0
RGS3,119537940
PSEN2,118288240
TSC2,123134740
GSK3A;GSK3B,254030081
GSK3B,0
TAF6,119574840
NT5C2,0
SEPHS1,0
SEPP1,0
GMPS,0
LIG3,118336240
MRE11A,258052081
GNG10,240502261
EMD,475930892
SLC26A2,0
SERPINH1,118072540
PDLIM4,652200081
PEX5,0
ERF,115816870
VASP,0
DNM2,135378040
CDK7,130649040
HLCS,0
CDK9,117124140
LRBA,157079040
BCAM,519157662
CCT8,0
PAPOLA,0
FXR1,0
FXR2,240939481
RAB7A,142875040
RAB9A,0
RAB27A,115207860
SCNN1B,120266040
PLCD1,249220181
DAP,0
MMP15,0
NOVA1,0
ZNF84,115437060
SMARCA2,662223902
SMARCA4,728405843
BCAP31,126714040
P2RX1,0
TPMT,119618840
RENBP,0
MECP2,539157021
HCFC1,235076281
CAV2,817061162
ALDH3A2,0
HSD17B4,0
GPM6A,0
KCNQ1,0
CLCN7,293041081
VAMP7,0
RPS6KA3,241023381
RPS6KA3;RPS6KA6;RPS6KA1,123434740
PRELP,0
CCNH,116434740
MNAT1,0
NEK4,0
HNRNPA3,0
PGD,0
HNRNPM,234666081
KPNA2,0
NCBP2,0
JAK3,0
ARHGDIA,164975040
SLC7A2,0
AGFG1,250722881
HNRNPF,116917840
STAT2,0
MSH6,355722021
KIF11,0
VAV2,0
RBM5,248006981
EFNB2,117376740
DGKQ,0
CAPZA1,117468340
HMGA2,0
CRIP2,0
NUP98,763358043
BLVRA,0
SLC25A1,116355040
DAPK1,0
ARFIP2,0
ARFIP1,271339881
ACLY,302971081
MVD,0
COPA,116877340
RCAN1;RCAN3,0
SMTN,0
SLC16A1,0
IST1,236973881
SUB1,233251101
CLNS1A,292546040
HIRA,0
ATXN3,0
ATXN1,242557581
ATN1,238316181
TERF1,126777040
PMS2,0
USP14,115146250
PRKAA2,115758320
PRKAA2;PRKAA1,131437040
RAD23A,140280040
RAD23B,135618040
EPHB4,0
AK2,0
NAPA,0
AIF1,151040040
EIF5,0
SLC12A2,369472621
PSMD4,120692440
VCP,116227240
MFAP1,1500366284
AQP4,509403221
NCKAP1L,0
MLLT4,534201962
MLLT6,116574840
ELL,0
BRPF1,353954021
NAP1L1,0
ADAR,243593781
LAMB2,0
CDH6,120114140
CDH11,392834421
FOXA1,271918081
TPD52,121104640
PKNOX1,0
HNRNPH2,0
EIF3B,0
FCGRT,116509740
MARS,0
AP1S2,0
HDAC4,129282040
CLDN12,118230540
CLDN18,361802821
BCAR1,0
STX17,252462781
SIK1;LOC102724428,0
RWDD2B,116798340
UBASH3A,0
WDR4,120218540
TBX4,0
EVC,0
KLF3,0
RAB38,0
CORO7,0
CLDN2,0
NUP107,115218530
SNX16,0
EEFSEC,0
SESN2,0
EPPK1,628668151
MLF1,0
FAM3B,139768040
EVA1C,0
GNG2,0
TPI1,307566040
SEC61B,396453921
PTEN,0
ACTB,0
ACTB;ACTA2;ACTG2;ACTG1;ACTC1;ACTA1,242194781
ACTB;ACTG1,0
ACTB;ACTG1;POTEE,0
RPS20,0
DSTN,118034240
RAB8A,122535440
RAB4B,115918320
RAB2A;RAB2B,0
CXCR4,116775740
RAB14,0
ZC3H6,0
ACTR2,0
RAP1B;RAP1A,0
MAX,119009040
RPS3A,0
MAGOH;MAGOHB,0
SEC61A1,119119340
STXBP1,0
COPZ1,0
UFM1,0
AP1S1,115526620
HNRNPK,345896081
RRAS2,242398781
RPS8,0
YWHAE,137301040
RPS29,115760910
TMSB4X,130059040
SELT,0
RAB11A,0
RAB11A;RAB11B,115658230
CNBP,0
ACTA2;ACTG2;ACTC1;ACTA1,0
RPS6,0
HIST1H4A,242504881
HIST1H2BC;H2BFS;HIST1H2BK;HIST1H2BM;HIST1H2BL;HIST1H2BO;HIST1H2BD;HIST1H2BH;HIST2H2BF;HIST3H2BB;HIST1H2BA;HIST1H2BN,0
HIST1H2BC;H2BFS;HIST1H2BK;HIST1H2BM;HIST1H2BL;HIST1H2BD;HIST1H2BH;HIST2H2BF;HIST1H2BN,0
RAB1A,0
RAN,0
GNB1,0
GNB2;GNB4,115612540
UBA52;RPS27A;UBB;UBC,117879040
