Ensembl_gene_id	p53_mock_2
ENSMUSG00000021636	643
ENSMUSG00000067341	3738
ENSMUSG00000059237	5
ENSMUSG00000030707	33586
ENSMUSG00000017390	139
ENSMUSG00000020681	338
ENSMUSG00000026712	10399
ENSMUSG00000053835	5271
ENSMUSG00000094862	35
ENSMUSG00000064317	327
ENSMUSG00000071036	442
ENSMUSG00000026904	132
ENSMUSG00000024030	4405
ENSMUSG00000080848	1108
ENSMUSG00000004100	1577
ENSMUSG00000039783	6471
ENSMUSG00000074211	502
ENSMUSG00000028545	1524
ENSMUSG00000037278	251
ENSMUSG00000079225	1173
ENSMUSG00000026880	876
ENSMUSG00000031639	754
ENSMUSG00000054520	4236
ENSMUSG00000021303	2
ENSMUSG00000028410	3780
ENSMUSG00000102984	394
ENSMUSG00000026048	1156
ENSMUSG00000022351	589
ENSMUSG00000082829	132
ENSMUSG00000004105	479
ENSMUSG00000084106	196
ENSMUSG00000029299	4090
ENSMUSG00000026616	56819
ENSMUSG00000054932	138
ENSMUSG00000027381	1670
ENSMUSG00000006442	387
ENSMUSG00000085603	2073
ENSMUSG00000020648	259
ENSMUSG00000069310	1324
ENSMUSG00000096802	176
ENSMUSG00000038421	9062
ENSMUSG00000038352	2056
ENSMUSG00000036565	2491
ENSMUSG00000100801	59
ENSMUSG00000022610	337
ENSMUSG00000029036	1377
ENSMUSG00000069267	1470
ENSMUSG00000101439	12
ENSMUSG00000113508	248
ENSMUSG00000090173	200
ENSMUSG00000040350	7895
ENSMUSG00000040345	2696
ENSMUSG00000069274	1021
ENSMUSG00000027072	35
ENSMUSG00000038508	11
ENSMUSG00000094951	602
ENSMUSG00000047751	5
ENSMUSG00000020328	785
ENSMUSG00000041064	71
ENSMUSG00000101279	167
ENSMUSG00000031626	582
ENSMUSG00000028460	207
ENSMUSG00000005667	424
ENSMUSG00000063015	5653
ENSMUSG00000104765	14
ENSMUSG00000048895	516
ENSMUSG00000047735	25235
ENSMUSG00000068014	57
ENSMUSG00000035863	95
ENSMUSG00000026825	40
ENSMUSG00000051504	297
ENSMUSG00000058258	565
ENSMUSG00000081665	1041
ENSMUSG00000019359	114
ENSMUSG00000078816	228
ENSMUSG00000001416	4511
ENSMUSG00000045629	63
ENSMUSG00000045349	26
ENSMUSG00000024177	74
ENSMUSG00000052749	5866
ENSMUSG00000021838	241
ENSMUSG00000078300	10
ENSMUSG00000035279	23
ENSMUSG00000032101	173
ENSMUSG00000026594	29032
ENSMUSG00000001552	958
ENSMUSG00000053553	208
ENSMUSG00000043004	3262
ENSMUSG00000070337	12
ENSMUSG00000107724	383
ENSMUSG00000079224	103
ENSMUSG00000036853	653
ENSMUSG00000000811	159
ENSMUSG00000027076	235
ENSMUSG00000023243	904
ENSMUSG00000026170	761
ENSMUSG00000049314	57
ENSMUSG00000103735	58
ENSMUSG00000027187	4690
ENSMUSG00000019986	443
ENSMUSG00000040809	163
ENSMUSG00000022750	425
ENSMUSG00000094114	129
ENSMUSG00000032011	143
ENSMUSG00000047821	40
ENSMUSG00000071591	0
ENSMUSG00000030468	15532
ENSMUSG00000040276	731
ENSMUSG00000005043	1747
ENSMUSG00000076525	97
