Ensembl_gene_id	p53_IR_4
ENSMUSG00000040711	279
ENSMUSG00000107539	101
ENSMUSG00000028069	2234
ENSMUSG00000023000	70
ENSMUSG00000040751	1622
ENSMUSG00000095210	250
ENSMUSG00000044197	307
ENSMUSG00000037638	425
ENSMUSG00000054263	146
ENSMUSG00000001027	391
ENSMUSG00000034126	2668
ENSMUSG00000001082	259
ENSMUSG00000006732	2261
ENSMUSG00000051727	137
ENSMUSG00000050666	77
ENSMUSG00000099702	7048
ENSMUSG00000062846	77
ENSMUSG00000075046	10
ENSMUSG00000021236	743
ENSMUSG00000040093	437
ENSMUSG00000020053	566
ENSMUSG00000034317	765
ENSMUSG00000041189	116
ENSMUSG00000044434	111
ENSMUSG00000058492	103
ENSMUSG00000001305	2319
ENSMUSG00000022075	1064
ENSMUSG00000095704	19
ENSMUSG00000017969	50
ENSMUSG00000039084	120
ENSMUSG00000045868	8445
ENSMUSG00000031618	57
ENSMUSG00000005800	21
ENSMUSG00000024912	220
ENSMUSG00000078616	135
ENSMUSG00000027199	80
ENSMUSG00000010136	19
ENSMUSG00000042675	1551
ENSMUSG00000105043	17
ENSMUSG00000038058	561
ENSMUSG00000024401	404
ENSMUSG00000020534	1288
ENSMUSG00000091498	239
ENSMUSG00000038967	74
ENSMUSG00000107705	500
ENSMUSG00000055200	67
ENSMUSG00000010021	50
ENSMUSG00000040596	1616
ENSMUSG00000014453	4294
ENSMUSG00000034059	10
ENSMUSG00000031162	8
ENSMUSG00000008393	6141
ENSMUSG00000020798	268
ENSMUSG00000057541	2806
ENSMUSG00000015656	53168
ENSMUSG00000022517	1505
ENSMUSG00000066108	48
ENSMUSG00000038578	2093
ENSMUSG00000006356	941
ENSMUSG00000024901	132
ENSMUSG00000070471	28
ENSMUSG00000018168	9054
ENSMUSG00000093930	1224
ENSMUSG00000013707	577
ENSMUSG00000059743	650
ENSMUSG00000035049	3042
ENSMUSG00000035919	478
ENSMUSG00000020865	529
ENSMUSG00000005873	954
ENSMUSG00000052131	47
ENSMUSG00000034424	627
ENSMUSG00000047250	360
ENSMUSG00000028931	845
ENSMUSG00000048007	404
ENSMUSG00000099974	1698
ENSMUSG00000107951	9
ENSMUSG00000064168	196
ENSMUSG00000040990	2574
ENSMUSG00000026447	3391
ENSMUSG00000028436	1204
ENSMUSG00000051998	1536
ENSMUSG00000101750	12
ENSMUSG00000084362	28
ENSMUSG00000035179	96
ENSMUSG00000037601	3777
ENSMUSG00000078606	5048
ENSMUSG00000042606	1608
ENSMUSG00000094796	103
ENSMUSG00000038279	4307
ENSMUSG00000010048	1410
ENSMUSG00000046761	373
ENSMUSG00000057706	72
ENSMUSG00000018381	825
ENSMUSG00000030255	168
ENSMUSG00000019302	1080
ENSMUSG00000060950	1328
ENSMUSG00000001588	3305
ENSMUSG00000029101	1119
ENSMUSG00000036533	103
ENSMUSG00000040888	3175
ENSMUSG00000081094	129
ENSMUSG00000042210	465
ENSMUSG00000069792	52
ENSMUSG00000042129	907
ENSMUSG00000042354	3229
ENSMUSG00000020116	1589
ENSMUSG00000022659	35
ENSMUSG00000036944	451
ENSMUSG00000038963	68
ENSMUSG00000030313	2217
ENSMUSG00000049422	310
ENSMUSG00000005534	991
ENSMUSG00000054901	75
ENSMUSG00000038725	19
ENSMUSG00000030750	364
ENSMUSG00000047368	964
ENSMUSG00000030657	935
ENSMUSG00000095366	8
ENSMUSG00000096850	8
ENSMUSG00000034394	146
ENSMUSG00000092261	30
ENSMUSG00000074497	3010
ENSMUSG00000025757	323
ENSMUSG00000029657	1710
ENSMUSG00000080941	98
ENSMUSG00000025491	20
ENSMUSG00000040710	4514
ENSMUSG00000029178	1888
ENSMUSG00000028633	1418
ENSMUSG00000037960	72
ENSMUSG00000029650	292
ENSMUSG00000036046	2051
ENSMUSG00000015176	4518
ENSMUSG00000026815	3
ENSMUSG00000042500	196
ENSMUSG00000022048	753
ENSMUSG00000078921	744
ENSMUSG00000070498	55
ENSMUSG00000082277	489
ENSMUSG00000039264	2402
ENSMUSG00000052087	741
ENSMUSG00000020781	3102
ENSMUSG00000068747	404
ENSMUSG00000057262	7
ENSMUSG00000055675	733
ENSMUSG00000020231	160
ENSMUSG00000015947	91
ENSMUSG00000023031	82
ENSMUSG00000004665	2803
ENSMUSG00000032035	10543
ENSMUSG00000042766	17
ENSMUSG00000038155	37
ENSMUSG00000049916	168
ENSMUSG00000096292	21
ENSMUSG00000096074	7468
ENSMUSG00000031543	111
ENSMUSG00000069008	738
ENSMUSG00000035000	2234
ENSMUSG00000001056	1924
ENSMUSG00000098369	0
ENSMUSG00000039145	892
ENSMUSG00000076552	97
